Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Environmental Scientist or Engineer/Project Manager (Mid Level),"$38K-$59K
(Glassdoor Est.)","Are you ready to take the next step in your career? Do you want to do meaningful work that improves quality of life? At Tetra Tech, you will work with high-performing teams who are passionate about using their expertise to find solutions to complex problems in water, environment, infrastructure, resource management, energy, and international development. Tetra Tech is a leading provider of high-end consulting and engineering services for projects worldwide. We combine the resources of a global, multibillion dollar company with local, client-focused delivery in more than 400 locations around the world. We are Leading with Science® to provide sustainable and resilient solutions for our clients.

Tetra Tech is seeking a Mid-Level Environmental Scientist or Engineer/Project Manager for our Chicago, IL office. This is a full-time position for an individual with a strong technical background in environmental site investigation and remediation who is interested in career growth and business development opportunities while managing and supporting a variety of public and private sector environmental projects.
Qualified candidates evaluated will have about 5-10 years of environmental consulting or related experience. Knowledge of federal, state, and local regulations and previous experience with hazardous waste site investigations and remediation is required. Previous private or public sector client management and business development success and project management experience is desirable. Applicable experience, training, and certifications with asbestos, lead-based paint, air quality, low-level radioactive waste, GIS, hydraulic and hydrologic modeling, or emergency response (e.g., ICS) is preferred. Candidate must possess strong analytical, organizational, client management, and communication skills (both written and verbal). Must also be highly motivated, customer focused and work well in a team environment. Proficiency with MS Word and Excel also required. Hydraulic and hydrologic modeling, GIS data analysis and geostatistics, coding (VBA, Python, etc.), and data management skills preferred. Must be able to drive a vehicle, and pass a motor vehicle records check.

B.S. or M.S. degree in engineering, science, or related environmental field required. 40-hr HAZWOPER training certification with 8-hr refresher required. Heavy lifting of field sampling and other equipment will be required. Candidate must also meet physical demands of hazardous waste site work. Travel is required and varies based on project requirements; may include weekend travel and work. Candidate may be exposed to various weather conditions while performing field work outside.

At Tetra Tech, we provide a collaborative environment that supports individual performance, innovation, and creativity. We are proud to offer competitive compensation and benefits. Learn more by visiting http://www.tetratech.com/en/benefits. For more information on our company, please visit our website at www.tetratech.com. To apply, please submit your resume and cover letter on the Careers portion of our website at www.tetratech.com/careers.

We thank all applicants for their interest; however only those selected for an interview will be contacted. Tetra Tech is committed to creating a diverse environment and is proud to be an Equal Opportunity Employer. We invite resumes from all interested parties including women, minorities, veterans and persons with disabilities.

Tetra Tech is a VEVRAA federal contractor and we request priority referral of veterans for available positions. EOE AA M/F/Vet/Disability - No calls or agencies

Additional Information



Organization: 103 EMI",3.6,"Tetra Tech
3.6","Chicago, IL",10000+ Employees,1966,Company - Public,Architectural & Engineering Services,Business Services,$2 to $5 billion (USD)
Director of Data Science,-1,"Role: Director of Data Science

Reporting to: COO

About Us:

We deliver the most advanced and flexible learning experience for certification, credentialing, test prep, continuing education, and training. Our cloud-based learning platform is designed to help education and training organizations deliver a highly engaging and effective learning experience for users who are trying to advance their careers. We incorporate the latest in learner-centered technology, including personalization, gamification, data science, usability and omni-channel delivery.

We're sitting in a pivotal time in the BenchPrep history, having achieved significant growth year-over-year and nearly doubling in employee size! The number of learners on our cloud-based learning platform has reached 6 million in 2019, up 30 percent versus the prior year.

We're committed to helping students learn better, and that starts in our own office.

About the role:

We are looking for a dynamic and talented Director of Data Science to build a new function here at BenchPrep, leading all of our Data Science and R&D efforts, creating a strategy to discover new insights hidden in the vast amounts of data we collect. You will work across the company with our product team, engineers, and strategy team; working toward a common goal of solving problems and finding creative solutions through data-driven decisions.

As our Director of Data Science, you will:
Oversee all of BenchPrep's data research and analytics efforts, including data strategy, data governance, and outcome modeling.
Build a brand new data science team from scratch, with the responsibility of identifying and developing talent on your team
Lead the discovery process with customers to begin identifying and solving business problems
Identify opportunities within the organization to increase efficiency and quality of our product using data-driven solutions, applying sound business judgement to quantify the impact of potential solutions
Conceptualize and plan leading-edge analytic and quantitative tools and modeling techniques to support our clients, helping them gain insight and improve decision-making
Drive customer impact by building out, operationalizing and managing scalable data science projects
Review internal and external analytical techniques, identifying what data is available and relevant and source the necessary data
Partner with our Product Management and Technology team to integrate prototypes and solutions into production systems
You should have:
Masters in quantitative field (Computer Science, Mathematics, Machine Learning, AI, Statistics, or equivalent)
6+ years of experience working in data science
3+ years of experience managing, Data Scientists
Universal data outcome modeling experience and usage of python, R, spark and corresponding packages
Proven data literacy the ability to describe use cases and outcomes, data sources and management concepts across business and technology domains
Deep experience in integrating complex processes and information strategies, including technology planning and execution and policy development and maintenance
Life at BenchPrep:

We work at BenchPrep because we're dedicated to the mission and each day have an opportunity to be challenged and learn. We work hard, eat well, and have lots of fun. Culture is our lifeline at BenchPrep. We celebrate our people, both professionally and personally. We focus on flexibility - both in work/life balance, but also everyday in operating with agility. We care about professional development so much that we offer employees $1,200 annually to build their skills. And of course, even though we're currently remote, our inclusive work culture has been built to withstand challenges, as we stay connected and ensure all of our employees have the resources and tools they need to stay successful in this new environment. It's no wonder we were selected in Inc's Best Workplaces of 2020 and Crain's 2020 Best Places to Work in Chicago lists.

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

We are looking for high performing and motivated professionals who are excited about the chance to leverage technology to impact the lives of millions of learners.",4.5,"BenchPrep
4.5","Chicago, IL",51 to 200 Employees,-1,Company - Private,Education Training Services,Education,Unknown / Non-Applicable
Bi Data Engineer,-1,"COMPANY OVERVIEW


Recently named one of Entrepreneur magazine's Top 100 Cannabis Leaders, Cresco Labs is one of the largest vertically-integrated multi-state cannabis operators in the United States. Cresco is built to become the most important company in the cannabis industry by combining the most strategic geographic footprint with one of the leading distribution platforms in North America. Employing a consumer-packaged goods (""CPG"") approach to cannabis, Cresco's house of brands is designed to meet the needs of all consumer segments and includes some of the most recognized and trusted national brands including Cresco, Remedi and Mindy's, a line of edibles created by James Beard Award-winning chef Mindy Segal. Sunnyside*, Cresco's national dispensary brand is a wellness-focused retailer designed to build trust, education and convenience for both existing and new cannabis consumers. Recognizing that the cannabis industry is poised to become one of the leading job creators in the country, Cresco has launched the industry's first national comprehensive Social Equity and Educational Development (SEED) initiative designed to ensure that all members of society have the skills, knowledge and opportunity to work in and own businesses in the cannabis industry.

MISSION STATEMENT


At Cresco, we aim to lead the nation's cannabis industry with a focus on regulatory compliance, product consistency, and customer satisfaction. Our operations bring legitimacy to the cannabis industry by acting with the highest level of integrity, strictly adhering to regulations, and promoting the clinical efficacy of cannabis. As Cresco grows, we will operate with the same level of professionalism and precision in each new market we move in to.

JOB SUMMARY

Cresco Labs is looking for a BI Data Engineer to join our corporate team. This individual will focus on designing and building data infrastructure, data visualization, and analytics services. The BI Data Engineer will develop data pipelines, manage tables and data sets, and other objects to house the data.

CORE JOB DUTIES
Design and build dynamic dashboards to support our unique requirements for visualization, security, data access, etc.
Collect, manage analyze and visualize large data sets while maintaining ETL pipelines
Implement data parsing and data cleansing to improve overall data quality and productivity
Collaborate with business stakeholders and other BI Engineers in identifying opportunities to build and analyze metrics
Manage progress, goals, and insights with business leadership
Stay up to data on data science trends and developments
Support the VP of Software Engineering through data analysis and reporting
Automate and document processes to ensure efficiency
REQUIRED EXPERIENCE, EDUCATION AND SKILLS
4+ years in a strong analytical background with a bachelor's degree in computer science or a similar field
Practical experience buildings out and implementing dashboards with Tableau or other business intelligence and analytics software
Expert knowledge in database technologies and web technologies
Excellent written and verbal communication skills
High level organization and structure
ADDITIONAL REQUIREMENTS
Must be 21 years of age or older to apply
Must comply with all legal or company regulations for working in the industry
Cresco Labs is an Equal Opportunity Employer and all applicants will be considered without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran, or disability status.",2.0,"Cresco Labs
2.0","Chicago, IL",501 to 1000 Employees,2013,Company - Public,"Health, Beauty, & Fitness",Consumer Services,Less than $1 million (USD)
DATA ENGINEER,"$69K-$122K
(Glassdoor Est.)","Job Overview

We are looking for a savvy Data Engineer to join our growing team of analytics experts. The hire will be responsible for expanding and optimizing our data and data pipeline architecture, as well as optimizing data flow and collection for cross functional teams. The ideal candidate is an experienced data pipeline builder and data wrangler who enjoys optimizing data systems and building them from the ground up. The Data Engineer will support our software developers, database architects, data analysts and data scientists on data initiatives and will ensure optimal data delivery architecture is consistent throughout ongoing projects. They must be self-directed and comfortable supporting the data needs of multiple teams, systems and products. The right candidate will be excited by the prospect of optimizing or even re-designing our company’s data architecture to support our next generation of products and data initiatives.

Responsibilities for Data Engineer:

- Create and maintain optimal data pipeline architecture,

- Assemble large, complex data sets that meet functional / non-functional business requirements.

- Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.

- Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and AWS ‘big data’ technologies.

- Build analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics.

- Work with stakeholders including the Executive, Product, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs.

- Keep our data separated and secure across national boundaries through multiple data centers and AWS regions.

- Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.

- Work with data and analytics experts to strive for greater functionality in our data systems.

Qualifications for Data Engineer:

- Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.

- Experience building and optimizing ‘big data’ data pipelines, architectures and data sets.

- Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.

- Strong analytic skills related to working with unstructured datasets.

- Build processes supporting data transformation, data structures, metadata, dependency and workload management.

- A successful history of manipulating, processing and extracting value from large disconnected datasets.

- Working knowledge of message queuing, stream processing and highly scalable ‘big data’ data stores.

- Strong project management and organizational skills.

- Experience supporting and working with cross-functional teams in a dynamic environment.

Knowledge, Skills, Abilities, and other Characteristics:

Qualifications:
5+ years of experience in a Data Engineer role, who has attained a Master’s degree in Computer Science, Statistics, Informatics, Information Systems or another quantitative field.
Industry-recognized certifications in data engineering, data architecture, informatics, machine learning, SQL
Experience with health care data, claim data, EMR systems (Meditech preferred), X.12 data formats, etc.
Experience with big data tools: Hadoop, Spark, Kafka, etc. (Preferred)
Experience with relational SQL and NoSQL databases, including Postgres and Cassandra.
Experience with data pipeline and workflow management tools: Azkaban, Luigi, Airflow, etc.
Experience with Microsoft and AWS cloud services: Azure, EC2, EMR, RDS, Redshift
Experience with stream-processing systems: Storm, Spark-Streaming, etc.
Experience with object-oriented/object function scripting languages: Python, Java, C++, Scala, etc.
Experience with statistical programming languages: R, Stata, SAS, etc.
Experience with architectural concepts and schemas: TOGAF, MITA, Star schema, etc.
Skilled in problem-solving with strong attention to detail.
Excellent customer service skills and the ability to react diplomatically and patiently to internal and external customers.
Excellent follow-up skills paired with the ability to multi-task and determine root causes.
Strong written and verbal communication skills coupled with the ability to read, analyze and interpret technical procedures.
Strong response time to phone calls, emails and customer requests.
Adhere to department policies and standards.
Ability to work independently under minimal supervision in stressful situations and meet deadlines.
Ability to prioritize, plan, and organize tasks based upon user requirements.
Ability to multi-manage multiple projects utilizing best practices based on departmental priorities.
Ability to multi-manage multiple projects utilizing best practices based on departmental priorities.
MINIMUM WORK EXPERIENCE:

Bachelors Degree, 5 years of relevant experience including leading projects or 8 years of relevant experience including leading projects and developing teams .

REQUIRED LICENSES, CERTIFICATES, REGISTRATIONS:

MCSE or equivalent is strongly desired but not required",3.1,"Sinai Health System
3.1","Chicago, IL",1001 to 5000 Employees,1918,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
Translational Bioinformatics Scientist,"$59K-$80K
(Glassdoor Est.)","Passionate about precision medicine and advancing the healthcare industry?

Recent advancements in underlying technology have finally made it possible for AI to impact clinical care in a meaningful way. Tempus' proprietary platform connects an entire ecosystem of real-world evidence to deliver real-time, actionable insights to physicians, providing critical information about the right treatments for the right patients, at the right time.

We are seeking an independent and motivated Translational Bioinformatics Scientist to join our Research group.

What You'll Do:

You will work on an interdisciplinary team to develop new computational and statistical approaches to support precision medicine applications. The successful candidate will work in an interdisciplinary team, carry out data analysis, apply and develop best-in class algorithms that directly address important biological and clinical questions, and provide strategy and input on new products and services.

Qualifications:
Advanced degree (Masters or PhD) in bioinformatics, statistics, biostatistics, epidemiology, oncology, genomics, human genetics, computer science, mathematics or a related field, or 5+ years experience working with genomic and clinical data
Experience working with electronic health information and related software systems
Experience in genetic analysis of complex disease and familiarity with common bioinformatics software and file formats
Experience with statistical modeling, data mining and/or machine learning
Experience with Python, R, or other modern programming language
Excellent communications skills
A collaborative mindset
Nice-to-haves:
Experience with polygenic risk scores and population genetics
Experience with clinical risk modeling and implementation
Experience with version control (Git) and collaborative software development and testing
Experience with AWS technical stack (EC2, S3, Redshift, etc.)
Experience with Real World Evidence (RWE) and Real World Data (RWD) topics and techniques
Experience with relational databases
Record of meaningful scientific publications",3.2,"Tempus Labs
3.2","Chicago, IL",501 to 1000 Employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Research Data Engineer,"$71K-$96K
(Glassdoor Est.)","Title: Research Data Engineer

Location: Chicago, NYC, London

Company Overview:

Our client is a leading global market maker across a broad array of fixed income and equity securities. Their world-class capabilities position them to meet the liquidity demands of their diverse group of institutional clients in all market conditions. In partnering, their clients, including asset managers, banks, broker-dealers, hedge funds, government agencies and public pension programs are able to gain a powerful trading advantage and are better positioned to meet investment goals.

Our client stands among the most trusted and impactful financial firms of our time, and the best and brightest are drawn to this culture of meritocracy that prizes insightful research and analytical rigor.

The team makes its mark every day from offices around the world.

Data Engineers are tasked with building next generation data analysis platforms. Our data analysis methods evolve on a daily basis and we empower our engineers to make bold decisions that support critical functions across the business.

Key Responsibilities:
Design, develop, test, and deploy elegant software solutions across the firm to support critical investment decisions
Partner with business leaders, quantitative researchers and technologists to define priorities and deliver custom solutions
Skillset Requirements:
A deep passion for working with data and developing software to address data processing challenges
Minimum of a bachelor’s degree in Computer Science or equivalent experience with good software design and engineering skills
Proficiency within one or more programming languages including Python, C, C++, R and/or JavaScript is a plus
Proficiency with multiple data platforms including RDBMS, NoSQL, MongoDB, Spark, Hadoop
Experience with some of the following areas: Distributed Computing, Natural Language Processing, Machine Learning, Cloud Platform Development, Networking, and/or REST Service Development
Good analytical and quantitative abilities
Demonstrated ability to quickly learn new technologies and skills
Ability to manage multiple tasks and thrive in a fast-paced team environment",-1,Galaxy Technology Hires LLC,"Chicago, IL",1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD)
Data Engineer,-1,"Immediate remote opportunities for Senior Data Engineers to leverage your expertise delivering large-scale Azure data systems to upskill in the Adobe Experience Platform.

As a Senior Data Engineer, you will be part of a data transformation program to support a well known retail organization responsible for the following:

Leading, designing, developing, and delivering large-scale Azure data systems, data processing, and data transformation projects.

Executing technical feasibility assessments and project estimates for moving databases and data processing to Azure.

Designing and advocating solutions using modern cloud technologies, design principles, integration points, and automation methods.

Mentoring and sharing knowledge with customers as well as providing architecture reviews, discussions, and prototypes.

Participating in overall engagement from strategy, assessment, migration, and implementations.

Working with customers to deploy, manage, and audit best practices for cloud products.

Expertise we need you to bring:

Demonstrated experience designing, implementing, and supporting enterprise-grade technical solutions in the cloud for meeting complex business data requirements.

Experience with Databricks and using Spark for data processing.

Experience with Azure Data Factory – ADF.

Advanced experience with different query languages (i.e. T-SQL, PostgreSQL, PL-SQL).

Experience designing and building data marts, warehouses, customer profile databases, etc.

Experience with data modeling, table design, and mapping business needs to data structures.

Experience with Azure Data Lake, Azure SQL Data Warehouse, and Cosmos DB are a plus.

Experience with Data Management Gateway, Azure Storage Options, Stream Analytics, and Event Hubs is a plus.

Experience with other cloud-based big data architectures is a plus.

Experience guidelines:

5 to 10 years of professional experience in the information technology industry.

BS in Computer Science or equivalent education/professional experience is required.

Strong and innovative approach to problem solving and finding solutions.

Excellent communicator (written and verbal, formal, and informal).

Flexible and proactive/self-motivated working style with strong personal ownership.

Ability to multi-task and prioritize under pressure.

Ability to work independently with minimal supervision as well as in a team environment.",-1,The Talent Source Inc,"Chicago, IL",1 to 50 Employees,-1,Unknown,-1,-1,Less than $1 million (USD)
Senior Data Scientist,-1,"Senior Data Scientist Job Title: Senior Data Scientist Job Location: Buffalo Grove, IL or Downtown Chicago, IL (NO OUT OF STATE CANDIDATES WILL BE CONSIDERED) Job Duration: Full-time, Direct Hire Requirements: Python, SQL, R, e-commerce knowledge, Data Science methodologies, Problem solving with Data Science Currently fully-remote due to COVID, On-premise work to resume when back to ""normal"" We are an e-commerce company specializing in business supplies and equipment. While other companies around the US are slowing down and hurting, we are proud to say that we are growing! And as such, we need more people to help us grow even more. We are looking for a Senior Data Scientist to join our team and help us take our data usage to the next level. If you have the skills we need, apply now! What You Will Be Doing - Lead data science projections from idea to completion (develop the idea, create a plan, layout the methodology, collaborate with other departments, execute the plan, and provide recommendations based on results) - Work closely with other data science team members to build algorithms, codes, evaluate research, deliver new outputs - Build predictive statistical models to support business initiatives - Document data science processes and codes, and develop strategies to ensure they are safe and secure - Use presentations and data visualizations to communicate results and findings to various levels of the company's leadership What You Need for this Position Must have skills/background: - 5+ years in data mining, database marketing, marketing analytics, or statistical modeling - Experience using analytics or data science at an E-commerce or internet retailer - Deep understanding of problem solving with Data Science methodologies - Experience taking complex problems and breaking them down into actionable tasks (idea to completion) - 5+ years of programming in Python - 3+ years experience in SQL Bonus skills: - 3+ years programming in R - Deploying models in the cloud (Google Cloud Platform, AWS) - Online marketing models, Google Analytics - Strong business acumen and understanding of how departments interact - Experience with BI visualization tools like Looker or Tableau - Experience in Machine Learning or Natural Language Processing What's In It for You - Strong starting salary ($110-130k) - Healthy year-end bonus - Top tier health benefits - Generous PTO - 401k safe harbor - Work from home opportunities So, if you are a Senior Data Scientist with the required experience, apply today! - Applicants must be authorized to work in the U.S.
CyberCoders, Inc is proud to be an Equal Opportunity Employer

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.

Your Right to Work In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.",4.2,"CyberCoders
4.2","Chicago, IL",201 to 500 Employees,1999,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Data Science Manager,"$110K-$176K
(Glassdoor Est.)","About the Job:
The Kenshoo Data Science team is hiring!
The role of the Data Science team is to empower customers to leverage Kenshoo's suite of algorithmic products such as bid optimizers and to identify/validate new directions for these algorithmic products.
The ideal candidate has mentored data scientists and has a strong grasp of statistical models, excellent analytical skills and the ability to coherently describe complex mathematical concepts to a layman audience. This role will report to the Senior Director of Data Science.
Responsibilities:
Develop and mentor a team of data scientists who use a variety of statistical and machine learning tools to effectively address client needs and foster a culture of constructive engagement across the company.
Represent Kenshoo Data Science in conversations with clients and partners. Advocate for our algorithmic solutions, data driven approaches and view of digital marketing; and provide consultation how to best set up and leverage these products.
Be part of our broader Product team to provide both client feedback and analysis to help guide data driven decisions to improve our products.
Build and guide the building of POCs ( proofs of concept ) to solve for clients needs using machine learning tools.
Perform analysis of customer/publisher data using ML and statistical methods.

Skills/Attributes Required:
Good working knowledge of statistical modeling.
Strong analytical and problem solving capabilities.
Strong SQL capabilities - experience querying data from relational DB engines.
Extensive knowledge of Python and its various packages.
Strong written and verbal communication skills - be able to take complex math and analytical concepts and explain to working teams and client executives.
Strong teamwork - internally with our teams as well as with clients.
Knowledge in machine learning algorithms such as linear/logistic-regression, Neural-Networks and others would be a strong plus.
Education/Experience:
BS/BA, ideally in a relevant field to data science.
5+ years in consulting/analytical roles.
2+ years in leading/supporting analytical teams.
MS/PhD in Machine Learning, Data Science, Statistics, Information Systems, Business Intelligence a plus but not required.
Having worked in internet marketing analytics at a top advertiser a plus.
Equal Employment Opportunity:
Kenshoo, Inc. is an equal opportunity employer. We strongly encourage and seek applications from women, people of color, and bilingual and bicultural individuals, as well as members of the lesbian, gay, bisexual, and transgender communities. Applicants shall not be discriminated against because of race, religion, sex, national origin, ethnicity, age, disability, political affiliation, sexual orientation, gender identity, color, marital status, or medical condition including acquired immune deficiency syndrome (AIDS) and AIDS-related conditions. Also pursuant to the San Francisco Fair Chance Ordinance, we encourage and will consider for employment qualified applicants with arrest and conviction records.
Kenshoo, Inc is an E-Verify employer.
Applicants with Disabilities:
Reasonable accommodation will be made so that qualified disabled applicants may participate in the application process. Please advise in writing of special needs at the time of application.


Region:
USA",3.8,"Kenshoo
3.8","Chicago, IL",501 to 1000 Employees,2006,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
"Software/Data Engineer (Python, Static Data, OOP)",-1,"Software/Data Engineer (Python, Static Data, OOP)

Location: Chicago, Illinois, United States

Salary: competitive

Sectors: Finance and Operations

Job Type: Permanent

Apply for this Job
This top growing financial firm in Chicago is looking for Software/Data Engineer to join their growing team and who will work with cutting edge tech! This team is responsible for the collecting and transformation of the data for analytics.

Responsibilities include:
A Python and SQL technologies expert
Building out data pipelines
Designing and developing programs and systems daily
Able to work efficiently and collaborate with systems operations
Conduct research and provide technology solutions
Plans and executes unit tests to ensure the developed code is free of functional defects
Skills needed:
At least 3+ or more years of related experience
Excellent organization and communication skills
Extensive skills in building out data pipelines
A degree in a Computer Science/Computer Engineering related field
At least two years of Capital Markets experience is preferred
What's in it for you?!
Competitive Compensation base + Cash Bonus 10-15%
Take ownership of project and initiatives right away
Ability to collaborate with leadership and make an impact immediately
If you are interested in this Senior Software Engineer role for a top firm in Chicago, IL, please respond to me directly, and feel free to share with your network!

Sthree US is acting as an Employment Agency in relation to this vacancy.

Apply for this Job",3.1,"Huxley
3.1","Chicago, IL",201 to 500 Employees,1995,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
Computational Scientist-Text Analysis,"$32K-$60K
(Glassdoor Est.)","Please make sure to read the job posting in its entirety as it reflects both the University roles and responsibilities, followed by the specific description.
Department
86755 Research Computing Center
About the Unit
The University of Chicago Research Computing Center (RCC), a unit in the Office of Research and National Laboratories (RNL), provides high-end research computing resources to researchers at the University of Chicago. It is dedicated to enabling research by providing access to centrally managed High Performance Computing (HPC), storage, and visualization resources. These resources include hardware, software, high-level scientific and technical user support, and the education and training required to help researchers make full use of modern HPC technology and local and national supercomputing resources. The Office of Research and National Laboratories oversees the conduct of sponsored research, research program development, multi-institutional research institutes, national laboratory board, and contract management functions. RNL supports the development and coordination of research-related communications and educational programs at The University of Chicago. RNL oversees the management of two Department of Energy contracts for Argonne National Laboratory and Fermi National Accelerator Laboratory. When combined with the Lab R&D budgets, the office oversees approximately $1.4 billion in sponsored research. RNL works closely with individual scholars, departments, and divisions to encourage, seed, and coalesce research across the University, Argonne, and Fermilab campuses.
Job Family
ResearchResponsible for all aspects of research projects and research facilities. Plans and conducts clinical and non-clinical research; facilitates and monitors daily activities of clinical trials or research projects. Directs engineering and technical support activities to develop and maintain tools and computational methods needed to gather and analyze data.
Career Track and Job Level
Research ComputingCreates research focused user interfaces web front-ends, back-end services that scale, and integrate scientific workflows that automate and accelerate the scientific output of multi-institutional collaborative projects. This role involves software development in support of research projects involving data acquisition, ingestion, and integration from heterogeneous sources (metadata extraction from a corpus of diverse data sets, both structured and unstructured data).P2: Requires knowledge and experience in own discipline; still acquiring higher-level knowledge and skills. Builds knowledge of the organization, processes and customers. Solves a range of straightforward problems. Analyzes possible solutions using standard procedures. Receives a moderate level of guidance and direction.
Role Impact
Individual Contributor
Responsibilities
The job develops software to support the data acquisition, ingestion, and integration for research projects. Assists in the development of user interfaces and scalable back-end services to automate and accelerate the scientific output of multi-institutional research projects.1) Participates in the product development life cycle, providing professional assistance to the design of front-end applications and database systems back-end schema. Analyzes high-level system specifications and makes sure that all application development standards are met., 2) Develops and presents technical training materials and web-based documentation. Ensures timely systems support and updates. Assists in conducting information security assessments and risk analysis of computing environment., 3) Evaluates past and present technologies to help develop new tools. Ensures all the new tools have been through quality control reviews., 4) With a moderate level of guidance, provides hardware, user and application level authentication and authorization. Implements modern web authentication methods such as XACML, SAML, OAuth2, Shibboleth, and LDAP directory server administration. Applies theoretical expertise and innovation to create or apply new technology, such as adapting principles for applying computers to new uses., 5) Performs other related work as needed.

Job Summary

1) The Research Computing Center (RCC) is partnering with the Harris School of Public Policy to hire a highly motivated Computational Scientist, Text Analysis to work closely with faculty and researchers at The University of Chicago. The person in this position serves as a technical domain expert supporting and advising faculty on text analysis, including natural language processing. The Computational Scientist may also hold a concurrent Lecturer appointment in an academic department and teach up to two courses per year. The successful candidate will join a team of Computational Scientists who are playing a key role in scientific computing support at the University of Chicago.

Unit-Specific Responsibilities

1) Develop, maintain and support text analysis pipelines that include data collection, data management, data digitization, data analysis and documentation.

2) Implement NLP algorithms, summarize findings and generate study results and plots for research projects.

3) Independently propose and execute practical solutions to research challenges; develop, install and test scientific software in support of research goals.

4) Prepare and contribute contents to manuscripts and presentations; create and present tutorials, hands-on workshops and documentation.

5) Communicate with various agencies and partners to apply for and manage data access; manage data collection and storage.

6) Work closely with faculty to identify, develop, and implement useful computational methods and resources that support or advance their research.

7) Keep abreast of new developments in High Performance Computing, data science, Machine Learning and deep learning; and be proactive in introducing them to the faculty.

8) May teach up to 2 academic courses per year.

9) Assist researchers with grant proposals with strong HPC or AI component to describe the interplay between their research and computation and data science.

10) Work with faculty and their research groups to enable them to fully utilize the University and national computational resources for their research.

Unit-Specific Competencies

1) Excellent interpersonal and communication (verbal and written) skills.

2) Understand and translate researchers' scientific goals into computational requirements.

3) Mentor and technical lead of a small team of students and/or Research Assistants.

4) Work well with faculty and researchers.

5) Identify and gain expertise in appropriate new technologies and/or software tools.

6) Function as part of an interactive team while demonstrating self-initiative to achieve project's goals and Research Computing Center's mission.

7) Strong analytical skills and problem-solving ability.

8) Work collaboratively with a diverse group of research scientists with different skills and expertise.

Education, Experience, and Certifications
Minimum requirements include a college or university degree in related field.Minimum requirements include knowledge and skills developed through 2-5 years of work experience in a related job discipline.

Preferred Qualifications

Education

1) PhD in Computer Science, Social Sciences, or related fields.

Technical Knowledge or Skills

1) Understanding of key natural language processing, data mining, machine learning and statistical methods.

2) Proficiency in one or more programming languages (such as C++, C, etc.).

3) Proficiency in a scripting language such as Python.

4) Knowledge of text analysis, including natural language processing.

5) Experience with Linux/Unix.

6) Knowledge of SQL.

7) Research experience in Natural Language processing, Machine Learning and Deep Learning frameworks.

8) Experience with running computational jobs on high-end computing systems.

Required Documents

1) Resume/CV

2) Cover letter

3) A solo-authored research-oriented writing sample (e.g. from a thesis) preferred.

NOTE: When applying, all required documents MUST be uploaded under the Resume/CV section of the application.

FLSA Status
Exempt
Pay Frequency
Monthly
Pay Grade
Depends on Qualifications
Scheduled Weekly Hours
37.5
Benefits Eligible
Yes
Drug Test Required
No
Health Screen Required
No
Motor Vehicle Record Inquiry Required
No
Posting Date
2020-08-14-07:00
Remove from Posting On or Before
2021-02-14-08:00
Posting Statement


The University of Chicago is an Affirmative Action/Equal Opportunity/Disabled/Veterans Employer and does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity, national or ethnic origin, age, status as an individual with a disability, protected veteran status, genetic information, or other protected classes under the law. For additional information please see the University's Notice of Nondiscrimination.

Staff Job seekers in need of a reasonable accommodation to complete the application process should call 773-702-5800 or submit a request via Applicant Inquiry Form.

The University of Chicago's Annual Security & Fire Safety Report (Report) provides information about University offices and programs that provide safety support, crime and fire statistics, emergency response and communications plans, and other policies and information. The Report can be accessed online at: http://securityreport.uchicago.edu. Paper copies of the Report are available, upon request, from the University of Chicago Police Department, 850 E. 61st Street, Chicago, IL 60637.",4.0,"University of Chicago
4.0","Chicago, IL",10000+ Employees,1890,College / University,Colleges & Universities,Education,$2 to $5 billion (USD)
